xflr5 v6,0.61,,,,,,,,,,
,,,,,,,,,,,
Calcula,ted polar,for: DAE5,1,,,,,,,,
,,,,,,,,,,,
1 1 Rey,nolds num,ber fixed,M,ach numbe,r fixed,,,,,,
,,,,,,,,,,,
xtrf =,1.000 (,top),1.000 (b,ottom),,,,,,,
Mach =,0,Re =,0.150 e,6     Ncr,it =   9,0,,,,,
,,,,,,,,,,,
alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp,,
-------,--------,---------,---------,--------,-------,-------,--------,---------,---------,,
-18,-0.5794,0.23721,0.23284,0.0189,1,0.0226,-1.7254,0,0,0,0.271
-16,-0.5118,0.1964,0.19201,0.0095,1,0.0267,-1.5608,0,0,0,0.2577
-15,-0.4817,0.18331,0.17893,0.0036,1,0.0293,-1.4989,0,0,0,0.2472
-14,-0.4528,0.17023,0.16588,-0.0024,1,0.0324,-1.4416,0,0,0,0.2348
-13,-0.4257,0.15767,0.15336,-0.009,1,0.0364,-1.4084,0,0,0,0.2194
-12,-0.4083,0.14966,0.14543,-0.0183,1,0.0395,-1.4818,0,0,0,0.1965
-11,-0.3835,0.13756,0.13342,-0.0256,1,0.0401,-1.5766,0,0,0,0.1752
-10,-0.3691,0.11951,0.11553,-0.0329,1,0.0413,-1.7951,0,0,0,0.1532
-9,-0.3333,0.10392,0.09994,-0.0317,1,0.0493,-1.5671,0,0,0,0.1474
-8,-0.3219,0.09301,0.08924,-0.0359,1,0.056,-1.5903,0,0,0,0.132
-7,-0.3976,0.09042,0.08703,-0.0217,1,0.0576,-1.7168,0,0,0,0.1912
-6,-0.2788,0.06703,0.06326,-0.0697,0.9763,0.0655,-1.9371,0,0,0,-0.005
-5,-0.1711,0.0503,0.04633,-0.0853,0.958,0.0805,-1.5455,0,0,0,-0.2554
-4,-0.0334,0.03573,0.03065,-0.1033,0.936,0.1101,-1.425,0,0,0,-2.8693
-3,0.121,0.02139,0.01386,-0.1112,0.9164,0.0591,-1.7267,0,0,0,1.1773
-2,0.2588,0.01646,0.00859,-0.1153,0.8967,0.1103,-1.3358,0,0,0,0.6981
-1,0.3678,0.01326,0.0078,-0.1126,0.8714,1,-0.8561,0,0,0,0.5569
0,0.4782,0.01346,0.00744,-0.1116,0.841,1,-0.6378,0,0,0,0.4828
1,0.5868,0.01363,0.0072,-0.1099,0.8089,1,-0.7299,0,0,0,0.4357
2,0.6932,0.01382,0.00724,-0.1081,0.7716,1,-0.8412,0,0,0,0.4034
3,0.8011,0.01384,0.0072,-0.106,0.7308,1,-0.9855,0,0,0,0.3789
4,0.9103,0.01381,0.00706,-0.1039,0.6862,1,-1.2492,0,0,0,0.3597
5,1.0163,0.01403,0.00732,-0.1015,0.6279,1,-1.852,0,0,0,0.3444
6,1.1162,0.01462,0.00805,-0.0983,0.5472,1,-2.4807,0,0,0,0.3314
7,1.2026,0.01605,0.00916,-0.0933,0.4131,1,-3.1297,0,0,0,0.3195
9,1.264,0.02843,0.01937,-0.0717,0.0393,1,-3.7974,0,0,0,0.296
10,1.291,0.0355,0.02688,-0.0621,0.0319,1,-4.3159,0,0,0,0.286
11,1.328,0.04231,0.03412,-0.0555,0.0249,1,-4.9694,0,0,0,0.2781
13,1.2964,0.07312,0.06692,-0.0434,0.0197,1,-5.1617,0,0,0,0.2668
14,1.2202,0.09668,0.09143,-0.0481,0.02,1,-4.8831,0,0,0,0.271
18,1.0478,0.2412,0.23713,-0.126,0.0473,1,-1.8251,0,0,0,0.3491
19,1.0719,0.25734,0.25329,-0.1353,0.0417,1,-1.8105,0,0,0,0.3534
20,1.1008,0.27236,0.26837,-0.1416,0.0378,1,-1.9303,0,0,0,0.3539
21,1.1238,0.29811,0.29413,-0.1466,0.0348,1,-1.9575,0,0,0,0.3539
22,1.1485,0.31522,0.31137,-0.1567,0.0345,1,-1.9097,0,0,0,0.3579
23,1.1712,0.32716,0.32334,-0.17,0.033,1,-1.8572,0,0,0,0.3645
24,1.1971,0.34319,0.33944,-0.1815,0.0289,1,-1.8504,0,0,0,0.3686
25,1.2218,0.3604,0.35673,-0.1906,0.026,1,-1.9145,0,0,0,0.3707
26,1.2455,0.37754,0.37396,-0.1993,0.0238,1,-1.9957,0,0,0,0.3721
27,1.2681,0.395,0.39152,-0.2069,0.0219,1,-2.1742,0,0,0,0.3725
28,1.2863,0.42737,0.42401,-0.2109,0.0199,1,-2.3499,0,0,0,0.3707
29,1.306,0.44232,0.43901,-0.2224,0.0197,1,-2.3427,0,0,0,0.3741
30,1.3286,0.45381,0.45053,-0.2364,0.0182,1,-2.2301,0,0,0,0.3786
31,1.3489,0.47247,0.46925,-0.2466,0.0136,1,-2.2098,0,0,0,0.3803
32,1.3648,0.4909,0.48777,-0.2552,0.0115,1,-2.2875,0,0,0,0.3809
