xflr5 v6.47

 Calculated polar for: DAE51

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.170 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -4.010,-0.0000, 0.03250, 0.02749,-0.1109,0.9328,0.1288,-1.4857, 0.0000,-321547916563.2537
 -3.799, 0.0500, 0.02268, 0.01566,-0.1133,0.9308,0.0488,-2.1000, 0.0000, 2.5431
 -3.410, 0.1000, 0.02067, 0.01307,-0.1142,0.9220,0.0508,-1.9705, 0.0000, 1.4040
 -3.038, 0.1500, 0.01804, 0.01026,-0.1156,0.9155,0.0547,-1.8109, 0.0000, 1.0281
 -2.603, 0.2000, 0.01675, 0.00885,-0.1154,0.9041,0.0644,-1.6263, 0.0000, 0.8319
 -2.169, 0.2500, 0.01539, 0.00759,-0.1155,0.8934,0.0885,-1.4509, 0.0000, 0.7150
 -1.722, 0.3000, 0.01303, 0.00682,-0.1159,0.8839,0.4815,-1.2464, 0.0000, 0.6383
 -1.188, 0.3500, 0.01169, 0.00662,-0.1116,0.8696,1.0000,-0.9302, 0.0000, 0.5698
 -0.730, 0.4000, 0.01179, 0.00636,-0.1111,0.8558,1.0000,-0.6676, 0.0000, 0.5280
 -0.270, 0.4500, 0.01187, 0.00618,-0.1104,0.8417,1.0000,-0.6189, 0.0000, 0.4951
  0.191, 0.5000, 0.01195, 0.00605,-0.1097,0.8275,1.0000,-0.6573, 0.0000, 0.4686
  0.651, 0.5500, 0.01202, 0.00594,-0.1090,0.8129,1.0000,-0.6988, 0.0000, 0.4468
  1.111, 0.6000, 0.01207, 0.00585,-0.1082,0.7979,1.0000,-0.7442, 0.0000, 0.4286
  1.570, 0.6500, 0.01212, 0.00577,-0.1074,0.7824,1.0000,-0.7941, 0.0000, 0.4131
  2.028, 0.7000, 0.01216, 0.00572,-0.1067,0.7661,1.0000,-0.8495, 0.0000, 0.3998
  2.495, 0.7500, 0.01228, 0.00581,-0.1059,0.7464,1.0000,-0.9118, 0.0000, 0.3882
  2.956, 0.8000, 0.01232, 0.00581,-0.1051,0.7272,1.0000,-0.9820, 0.0000, 0.3779
  3.413, 0.8500, 0.01236, 0.00580,-0.1044,0.7080,1.0000,-1.0630, 0.0000, 0.3689
  3.884, 0.9000, 0.01250, 0.00597,-0.1035,0.6836,1.0000,-1.1642, 0.0000, 0.3606
  4.354, 0.9500, 0.01265, 0.00613,-0.1027,0.6581,1.0000,-1.3157, 0.0000, 0.3531
  4.830, 1.0000, 0.01285, 0.00635,-0.1017,0.6294,1.0000,-1.5434, 0.0000, 0.3462
  5.315, 1.0500, 0.01312, 0.00663,-0.1005,0.5961,1.0000,-1.8113, 0.0000, 0.3397
  5.817, 1.1000, 0.01353, 0.00704,-0.0991,0.5548,1.0000,-2.1263, 0.0000, 0.3335
  6.347, 1.1500, 0.01411, 0.00757,-0.0972,0.5005,1.0000,-2.4985, 0.0000, 0.3272
  6.923, 1.2000, 0.01506, 0.00841,-0.0946,0.4278,1.0000,-2.9317, 0.0000, 0.3208
  7.615, 1.2500, 0.01701, 0.00997,-0.0905,0.3106,1.0000,-3.4547, 0.0000, 0.3135
  9.282, 1.3000, 0.02713, 0.01867,-0.0729,0.0642,1.0000,-4.4019, 0.0000, 0.2948
 10.852, 1.3500, 0.03865, 0.03043,-0.0589,0.0395,1.0000,-5.2300, 0.0000, 0.2801
 11.815, 1.4000, 0.04603, 0.03826,-0.0532,0.0324,1.0000,-5.9124, 0.0000, 0.2730


