xflr5 v6.47

 Calculated polar for: DAE51

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.040 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -1.505, 0.0000, 0.03205, 0.02087,-0.0714,1.0000,0.1984,-1.5325, 0.0000,3076787295461842.0000
 -1.092, 0.0500, 0.03049, 0.01920,-0.0723,1.0000,0.2592,-1.4592, 0.0000, 1.7050
 -0.502, 0.1000, 0.02668, 0.01736,-0.0677,1.0000,1.0000,-1.3809, 0.0000, 0.9301
  0.063, 0.1500, 0.02838, 0.01808,-0.0684,1.0000,1.0000,-1.1002, 0.0000, 0.7067
  0.667, 0.2000, 0.03049, 0.01951,-0.0692,1.0000,1.0000,-0.8188, 0.0000, 0.5950
  1.308, 0.2500, 0.03308, 0.02162,-0.0699,1.0000,1.0000,-0.5618, 0.0000, 0.5279
  1.886, 0.3000, 0.03588, 0.02411,-0.0721,0.9964,1.0000,-0.5194, 0.0000, 0.4878
  2.156, 0.3500, 0.03781, 0.02588,-0.0780,0.9809,1.0000,-0.5533, 0.0000, 0.4701
  2.472, 0.4000, 0.03989, 0.02784,-0.0832,0.9624,1.0000,-0.5898, 0.0000, 0.4550
  2.773, 0.4500, 0.04194, 0.02983,-0.0884,0.9443,1.0000,-0.6290, 0.0000, 0.4430
  3.179, 0.5000, 0.04442, 0.03229,-0.0921,0.9192,1.0000,-0.6729, 0.0000, 0.4304
  3.489, 0.5500, 0.04648, 0.03436,-0.0965,0.8994,1.0000,-0.7192, 0.0000, 0.4214
  3.924, 0.6000, 0.04909, 0.03707,-0.0992,0.8708,1.0000,-0.7728, 0.0000, 0.4110
  4.356, 0.6500, 0.05168, 0.03977,-0.1016,0.8413,1.0000,-0.8335, 0.0000, 0.4015
  4.891, 0.7000, 0.05490, 0.04321,-0.1025,0.8034,1.0000,-0.9074, 0.0000, 0.3912
  5.337, 0.7500, 0.05743, 0.04596,-0.1039,0.7703,1.0000,-0.9938, 0.0000, 0.3828
  5.810, 0.8000, 0.05998, 0.04882,-0.1043,0.7342,1.0000,-1.1119, 0.0000, 0.3743
  6.658, 0.9000, 0.06323, 0.05278,-0.1039,0.6652,1.0000,-1.4712, 0.0000, 0.3584
  7.654, 1.0000, 0.06551, 0.05602,-0.0979,0.5754,1.0000,-2.0111, 0.0000, 0.3399
  8.004, 1.0500, 0.06361, 0.05459,-0.0940,0.5387,1.0000,-2.3062, 0.0000, 0.3310
  8.030, 1.1000, 0.05765, 0.04895,-0.0923,0.5324,1.0000,-2.5391, 0.0000, 0.3254
  8.105, 1.1500, 0.05199, 0.04359,-0.0903,0.5175,1.0000,-2.7966, 0.0000, 0.3198
  8.424, 1.2500, 0.04074, 0.03258,-0.0830,0.4380,1.0000,-3.4260, 0.0000, 0.3070
 11.192, 1.3500, 0.07055, 0.06200,-0.0518,0.1323,1.0000,-4.3290, 0.0000, 0.2750
 11.770, 1.3000, 0.08066, 0.07285,-0.0453,0.1315,1.0000,-4.1976, 0.0000, 0.2708


