xflr5 v6.47

 Calculated polar for: DAE51

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.250 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -3.972, 0.0500, 0.01906, 0.01266,-0.1125,0.9057,0.0372,-2.2621, 0.0000, 2.5272
 -3.514, 0.1000, 0.01639, 0.00946,-0.1116,0.8952,0.0374,-2.1330, 0.0000, 1.3784
 -3.048, 0.1500, 0.01459, 0.00740,-0.1106,0.8846,0.0419,-1.9080, 0.0000, 0.9945
 -2.581, 0.2000, 0.01338, 0.00614,-0.1098,0.8722,0.0491,-1.6796, 0.0000, 0.8037
 -2.121, 0.2500, 0.01228, 0.00504,-0.1094,0.8602,0.0686,-1.4746, 0.0000, 0.6904
 -1.659, 0.3000, 0.01068, 0.00443,-0.1096,0.8486,0.3423,-1.2355, 0.0000, 0.6171
 -1.132, 0.3500, 0.00945, 0.00444,-0.1074,0.8347,0.7331,-0.9204, 0.0000, 0.5578
 -0.662, 0.4000, 0.00888, 0.00412,-0.1055,0.8225,1.0000,-0.6466, 0.0000, 0.5139
 -0.215, 0.4500, 0.00893, 0.00390,-0.1053,0.8103,1.0000,-0.6266, 0.0000, 0.4834
  0.233, 0.5000, 0.00900, 0.00378,-0.1050,0.7966,1.0000,-0.6647, 0.0000, 0.4591
  0.682, 0.5500, 0.00907, 0.00369,-0.1048,0.7822,1.0000,-0.7058, 0.0000, 0.4390
  1.132, 0.6000, 0.00915, 0.00364,-0.1045,0.7673,1.0000,-0.7508, 0.0000, 0.4223
  1.582, 0.6500, 0.00924, 0.00361,-0.1042,0.7515,1.0000,-0.8003, 0.0000, 0.4080
  2.035, 0.7000, 0.00934, 0.00365,-0.1039,0.7335,1.0000,-0.8554, 0.0000, 0.3957
  2.489, 0.7500, 0.00946, 0.00370,-0.1035,0.7145,1.0000,-0.9172, 0.0000, 0.3849
  2.943, 0.8000, 0.00958, 0.00376,-0.1031,0.6951,1.0000,-0.9870, 0.0000, 0.3754
  3.403, 0.8500, 0.00976, 0.00390,-0.1027,0.6723,1.0000,-1.0680, 0.0000, 0.3669
  3.864, 0.9000, 0.00996, 0.00407,-0.1022,0.6485,1.0000,-1.1689, 0.0000, 0.3591
  4.332, 0.9500, 0.01023, 0.00428,-0.1017,0.6216,1.0000,-1.3215, 0.0000, 0.3521
  4.807, 1.0000, 0.01055, 0.00460,-0.1010,0.5906,1.0000,-1.5511, 0.0000, 0.3455
  5.293, 1.0500, 0.01096, 0.00499,-0.1002,0.5539,1.0000,-1.8220, 0.0000, 0.3394
  5.799, 1.1000, 0.01152, 0.00547,-0.0990,0.5074,1.0000,-2.1397, 0.0000, 0.3333
  6.327, 1.1500, 0.01228, 0.00611,-0.0975,0.4490,1.0000,-2.5141, 0.0000, 0.3275
  6.912, 1.2000, 0.01353, 0.00709,-0.0952,0.3621,1.0000,-2.9578, 0.0000, 0.3213
  7.584, 1.2500, 0.01568, 0.00874,-0.0919,0.2464,1.0000,-3.4749, 0.0000, 0.3146
  8.559, 1.3000, 0.02067, 0.01270,-0.0844,0.0750,1.0000,-4.1565, 0.0000, 0.3047
 10.229, 1.3500, 0.03010, 0.02236,-0.0676,0.0339,1.0000,-5.1516, 0.0000, 0.2874
 11.922, 1.4000, 0.04331, 0.03612,-0.0543,0.0243,1.0000,-6.1796, 0.0000, 0.2735


