xflr5 v6.47

 Calculated polar for: DAE51

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.280 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -4.325,-0.0000, 0.02641, 0.02159,-0.1112,0.9040,0.0678,-1.8167, 0.0000,-21866681141.3856
 -3.936, 0.0500, 0.01729, 0.01079,-0.1103,0.8958,0.0334,-2.3751, 0.0000, 2.4829
 -3.470, 0.1000, 0.01513, 0.00828,-0.1093,0.8851,0.0345,-2.1790, 0.0000, 1.3557
 -3.008, 0.1500, 0.01396, 0.00694,-0.1087,0.8732,0.0391,-1.9092, 0.0000, 0.9814
 -2.545, 0.2000, 0.01254, 0.00546,-0.1081,0.8618,0.0462,-1.6902, 0.0000, 0.7949
 -2.091, 0.2500, 0.01167, 0.00453,-0.1077,0.8509,0.0641,-1.4740, 0.0000, 0.6834
 -1.635, 0.3000, 0.01014, 0.00388,-0.1079,0.8401,0.3100,-1.2304, 0.0000, 0.6115
 -1.143, 0.3500, 0.00902, 0.00387,-0.1070,0.8268,0.6659,-0.9260, 0.0000, 0.5566
 -0.645, 0.4000, 0.00824, 0.00364,-0.1045,0.8130,1.0000,-0.6421, 0.0000, 0.5112
 -0.201, 0.4500, 0.00831, 0.00349,-0.1044,0.8001,1.0000,-0.6279, 0.0000, 0.4814
  0.244, 0.5000, 0.00838, 0.00337,-0.1042,0.7866,1.0000,-0.6660, 0.0000, 0.4574
  0.691, 0.5500, 0.00846, 0.00329,-0.1041,0.7724,1.0000,-0.7071, 0.0000, 0.4377
  1.138, 0.6000, 0.00854, 0.00324,-0.1039,0.7574,1.0000,-0.7520, 0.0000, 0.4212
  1.586, 0.6500, 0.00863, 0.00322,-0.1036,0.7414,1.0000,-0.8014, 0.0000, 0.4071
  2.036, 0.7000, 0.00874, 0.00322,-0.1034,0.7245,1.0000,-0.8565, 0.0000, 0.3950
  2.488, 0.7500, 0.00887, 0.00329,-0.1031,0.7055,1.0000,-0.9183, 0.0000, 0.3844
  2.942, 0.8000, 0.00901, 0.00339,-0.1028,0.6845,1.0000,-0.9880, 0.0000, 0.3750
  3.400, 0.8500, 0.00920, 0.00351,-0.1025,0.6625,1.0000,-1.0689, 0.0000, 0.3665
  3.861, 0.9000, 0.00943, 0.00370,-0.1021,0.6375,1.0000,-1.1699, 0.0000, 0.3589
  4.328, 0.9500, 0.00971, 0.00395,-0.1016,0.6097,1.0000,-1.3227, 0.0000, 0.3520
  4.803, 1.0000, 0.01007, 0.00426,-0.1010,0.5787,1.0000,-1.5532, 0.0000, 0.3455
  5.288, 1.0500, 0.01049, 0.00466,-0.1002,0.5414,1.0000,-1.8243, 0.0000, 0.3394
  5.794, 1.1000, 0.01108, 0.00515,-0.0991,0.4931,1.0000,-2.1426, 0.0000, 0.3334
  6.323, 1.1500, 0.01189, 0.00580,-0.0977,0.4323,1.0000,-2.5177, 0.0000, 0.3276
  6.905, 1.2000, 0.01320, 0.00680,-0.0955,0.3431,1.0000,-2.9619, 0.0000, 0.3215
  7.565, 1.2500, 0.01532, 0.00843,-0.0924,0.2299,1.0000,-3.4743, 0.0000, 0.3150
  8.461, 1.3000, 0.01966, 0.01184,-0.0861,0.0753,1.0000,-4.1246, 0.0000, 0.3062
  9.813, 1.3500, 0.02651, 0.01880,-0.0728,0.0344,1.0000,-4.9990, 0.0000, 0.2919
 11.882, 1.4000, 0.04141, 0.03447,-0.0556,0.0230,1.0000,-6.2331, 0.0000, 0.2744


