xflr5 v6.47

 Calculated polar for: DAE51

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.230 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -4.005, 0.0500, 0.02021, 0.01368,-0.1138,0.9147,0.0391,-2.2443, 0.0000, 2.5542
 -3.543, 0.1000, 0.01740, 0.01033,-0.1131,0.9027,0.0393,-2.1145, 0.0000, 1.3933
 -3.073, 0.1500, 0.01535, 0.00811,-0.1123,0.8909,0.0446,-1.8806, 0.0000, 1.0062
 -2.609, 0.2000, 0.01417, 0.00677,-0.1113,0.8798,0.0509,-1.6721, 0.0000, 0.8113
 -2.146, 0.2500, 0.01284, 0.00547,-0.1107,0.8692,0.0715,-1.4722, 0.0000, 0.6956
 -1.678, 0.3000, 0.01109, 0.00483,-0.1108,0.8564,0.3668,-1.2394, 0.0000, 0.6212
 -1.100, 0.3500, 0.00972, 0.00482,-0.1069,0.8411,0.8029,-0.9080, 0.0000, 0.5562
 -0.675, 0.4000, 0.00940, 0.00452,-0.1065,0.8288,1.0000,-0.6505, 0.0000, 0.5164
 -0.225, 0.4500, 0.00947, 0.00434,-0.1062,0.8157,1.0000,-0.6251, 0.0000, 0.4856
  0.226, 0.5000, 0.00954, 0.00421,-0.1059,0.8021,1.0000,-0.6633, 0.0000, 0.4608
  0.678, 0.5500, 0.00961, 0.00412,-0.1055,0.7879,1.0000,-0.7045, 0.0000, 0.4404
  1.129, 0.6000, 0.00968, 0.00405,-0.1051,0.7729,1.0000,-0.7496, 0.0000, 0.4233
  1.581, 0.6500, 0.00976, 0.00401,-0.1047,0.7570,1.0000,-0.7992, 0.0000, 0.4088
  2.034, 0.7000, 0.00984, 0.00399,-0.1043,0.7403,1.0000,-0.8544, 0.0000, 0.3963
  2.946, 0.8000, 0.01007, 0.00412,-0.1035,0.7016,1.0000,-0.9862, 0.0000, 0.3758
  3.404, 0.8500, 0.01021, 0.00419,-0.1030,0.6806,1.0000,-1.0672, 0.0000, 0.3671
  3.868, 0.9000, 0.01040, 0.00440,-0.1024,0.6558,1.0000,-1.1681, 0.0000, 0.3594
  4.336, 0.9500, 0.01064, 0.00461,-0.1018,0.6290,1.0000,-1.3204, 0.0000, 0.3522
  4.811, 1.0000, 0.01095, 0.00491,-0.1011,0.5987,1.0000,-1.5495, 0.0000, 0.3456
  5.297, 1.0500, 0.01136, 0.00525,-0.1002,0.5638,1.0000,-1.8203, 0.0000, 0.3394
  5.802, 1.1000, 0.01188, 0.00574,-0.0990,0.5182,1.0000,-2.1370, 0.0000, 0.3333
  6.332, 1.1500, 0.01261, 0.00636,-0.0974,0.4609,1.0000,-2.5116, 0.0000, 0.3274
  6.915, 1.2000, 0.01380, 0.00731,-0.0950,0.3766,1.0000,-2.9534, 0.0000, 0.3212
  7.593, 1.2500, 0.01594, 0.00897,-0.0915,0.2596,1.0000,-3.4727, 0.0000, 0.3143
  8.673, 1.3000, 0.02179, 0.01365,-0.0826,0.0722,1.0000,-4.1963, 0.0000, 0.3031
 13.826, 1.4000, 0.06578, 0.06022,-0.0421,0.0218,1.0000,-6.8270, 0.0000, 0.2617
 14.650, 1.3500, 0.08133, 0.07659,-0.0412,0.0217,1.0000,-6.7293, 0.0000, 0.2606


