xflr5 v6.47

 Calculated polar for: DAE51

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.120 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -3.414,-0.0000, 0.02725, 0.01953,-0.1002,0.9442,0.0649,-2.0159, 0.0000,-4755933251154.4541
 -3.057, 0.0500, 0.02461, 0.01642,-0.1023,0.9359,0.0662,-1.9073, 0.0000, 2.3183
 -2.761, 0.1000, 0.02274, 0.01430,-0.1053,0.9313,0.0692,-1.7748, 0.0000, 1.3137
 -2.467, 0.1500, 0.02137, 0.01273,-0.1084,0.9269,0.0787,-1.6354, 0.0000, 0.9788
 -2.109, 0.2000, 0.01999, 0.01147,-0.1104,0.9179,0.0977,-1.4973, 0.0000, 0.8059
 -1.827, 0.2500, 0.01848, 0.01034,-0.1139,0.9143,0.1686,-1.3760, 0.0000, 0.7085
 -1.342, 0.3000, 0.01578, 0.01017,-0.1115,0.9018,1.0000,-1.1194, 0.0000, 0.6233
 -0.948, 0.3500, 0.01599, 0.00995,-0.1126,0.8894,1.0000,-0.8613, 0.0000, 0.5727
  0.250, 0.5000, 0.01624, 0.00944,-0.1145,0.8549,1.0000,-0.6491, 0.0000, 0.4783
  0.695, 0.5500, 0.01636, 0.00939,-0.1140,0.8402,1.0000,-0.6905, 0.0000, 0.4560
  1.146, 0.6000, 0.01643, 0.00934,-0.1133,0.8252,1.0000,-0.7359, 0.0000, 0.4371
  2.095, 0.7000, 0.01674, 0.00951,-0.1110,0.7885,1.0000,-0.8425, 0.0000, 0.4059
  2.554, 0.7500, 0.01671, 0.00945,-0.1098,0.7713,1.0000,-0.9051, 0.0000, 0.3934
  3.009, 0.8000, 0.01659, 0.00931,-0.1086,0.7541,1.0000,-0.9757, 0.0000, 0.3823
  3.479, 0.8500, 0.01658, 0.00934,-0.1073,0.7335,1.0000,-1.0580, 0.0000, 0.3723
  3.944, 0.9000, 0.01649, 0.00930,-0.1060,0.7119,1.0000,-1.1602, 0.0000, 0.3634
  4.415, 0.9500, 0.01646, 0.00931,-0.1046,0.6879,1.0000,-1.3121, 0.0000, 0.3552
  4.880, 1.0000, 0.01637, 0.00927,-0.1032,0.6625,1.0000,-1.5369, 0.0000, 0.3478
  5.365, 1.0500, 0.01643, 0.00940,-0.1016,0.6308,1.0000,-1.8031, 0.0000, 0.3408
  5.854, 1.1000, 0.01651, 0.00953,-0.0998,0.5944,1.0000,-2.1125, 0.0000, 0.3342
  6.378, 1.1500, 0.01680, 0.00985,-0.0975,0.5457,1.0000,-2.4783, 0.0000, 0.3276
  6.952, 1.2000, 0.01741, 0.01045,-0.0944,0.4782,1.0000,-2.9048, 0.0000, 0.3207
  7.644, 1.2500, 0.01892, 0.01177,-0.0896,0.3704,1.0000,-3.4251, 0.0000, 0.3127
  9.957, 1.3000, 0.03485, 0.02595,-0.0630,0.0672,1.0000,-4.5561, 0.0000, 0.2863
 10.776, 1.3500, 0.04119, 0.03242,-0.0580,0.0520,1.0000,-5.0464, 0.0000, 0.2796
 11.381, 1.4000, 0.04784, 0.03964,-0.0558,0.0460,1.0000,-5.4262, 0.0000, 0.2756


