xflr5 v6.47

 Calculated polar for: DAE51

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.110 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -3.178,-0.0000, 0.02780, 0.02002,-0.0970,0.9463,0.0724,-1.9097, 0.0000,-295177980108.3900
 -2.914, 0.0500, 0.02540, 0.01708,-0.1006,0.9433,0.0715,-1.8463, 0.0000, 2.2837
 -2.271, 0.1500, 0.02214, 0.01334,-0.1056,0.9296,0.0873,-1.5930, 0.0000, 0.9600
 -1.624, 0.2500, 0.01816, 0.01131,-0.1117,0.9164,0.4982,-1.3456, 0.0000, 0.6994
 -0.804, 0.3500, 0.01734, 0.01097,-0.1113,0.8924,1.0000,-0.8204, 0.0000, 0.5687
 -0.481, 0.4000, 0.01735, 0.01070,-0.1136,0.8850,1.0000,-0.6159, 0.0000, 0.5342
  0.355, 0.5000, 0.01778, 0.01069,-0.1144,0.8570,1.0000,-0.6482, 0.0000, 0.4780
  0.785, 0.5500, 0.01795, 0.01070,-0.1143,0.8425,1.0000,-0.6894, 0.0000, 0.4565
  1.223, 0.6000, 0.01806, 0.01070,-0.1139,0.8275,1.0000,-0.7348, 0.0000, 0.4380
  1.667, 0.6500, 0.01811, 0.01068,-0.1132,0.8122,1.0000,-0.7849, 0.0000, 0.4220
  2.113, 0.7000, 0.01810, 0.01060,-0.1123,0.7966,1.0000,-0.8405, 0.0000, 0.4078
  3.059, 0.8000, 0.01823, 0.01076,-0.1096,0.7574,1.0000,-0.9751, 0.0000, 0.3835
  3.508, 0.8500, 0.01802, 0.01055,-0.1083,0.7395,1.0000,-1.0569, 0.0000, 0.3735
  3.984, 0.9000, 0.01799, 0.01061,-0.1068,0.7168,1.0000,-1.1610, 0.0000, 0.3642
  4.436, 0.9500, 0.01773, 0.01038,-0.1054,0.6956,1.0000,-1.3111, 0.0000, 0.3560
  4.913, 1.0000, 0.01766, 0.01042,-0.1037,0.6684,1.0000,-1.5380, 0.0000, 0.3483
  5.387, 1.0500, 0.01757, 0.01039,-0.1020,0.6388,1.0000,-1.8019, 0.0000, 0.3412
  5.879, 1.1000, 0.01759, 0.01051,-0.1001,0.6023,1.0000,-2.1115, 0.0000, 0.3344
  6.396, 1.1500, 0.01775, 0.01071,-0.0977,0.5552,1.0000,-2.4745, 0.0000, 0.3277
  7.656, 1.2500, 0.01957, 0.01239,-0.0894,0.3843,1.0000,-3.4172, 0.0000, 0.3126
  9.974, 1.3000, 0.03603, 0.02682,-0.0625,0.0718,1.0000,-4.5353, 0.0000, 0.2859
 10.641, 1.3500, 0.04151, 0.03259,-0.0591,0.0576,1.0000,-4.9350, 0.0000, 0.2807
 11.084, 1.4000, 0.04686, 0.03800,-0.0598,0.0501,1.0000,-5.3030, 0.0000, 0.2789


