xflr5 v6.47

 Calculated polar for: DAE51

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.240 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -4.355,-0.0000, 0.02866, 0.02386,-0.1136,0.9180,0.0812,-1.7183, 0.0000,-16079915798401.3496
 -3.873, 0.0500, 0.02513, 0.01993,-0.1142,0.9058,0.0967,-1.5787, 0.0000, 2.5561
 -3.532, 0.1000, 0.01684, 0.00984,-0.1123,0.8997,0.0384,-2.1243, 0.0000, 1.3858
 -3.060, 0.1500, 0.01491, 0.00770,-0.1115,0.8874,0.0432,-1.8957, 0.0000, 1.0004
 -2.594, 0.2000, 0.01375, 0.00644,-0.1106,0.8755,0.0501,-1.6764, 0.0000, 0.8075
 -1.668, 0.3000, 0.01087, 0.00461,-0.1102,0.8529,0.3543,-1.2373, 0.0000, 0.6189
 -1.121, 0.3500, 0.00959, 0.00461,-0.1073,0.8385,0.7632,-0.9159, 0.0000, 0.5573
 -0.669, 0.4000, 0.00911, 0.00428,-0.1059,0.8261,1.0000,-0.6485, 0.0000, 0.5150
 -0.219, 0.4500, 0.00918, 0.00411,-0.1057,0.8128,1.0000,-0.6259, 0.0000, 0.4844
  0.230, 0.5000, 0.00925, 0.00399,-0.1054,0.7990,1.0000,-0.6640, 0.0000, 0.4599
  0.680, 0.5500, 0.00933, 0.00390,-0.1051,0.7848,1.0000,-0.7052, 0.0000, 0.4397
  1.131, 0.6000, 0.00940, 0.00384,-0.1048,0.7698,1.0000,-0.7502, 0.0000, 0.4228
  1.582, 0.6500, 0.00948, 0.00380,-0.1044,0.7541,1.0000,-0.7998, 0.0000, 0.4084
  2.033, 0.7000, 0.00957, 0.00378,-0.1040,0.7377,1.0000,-0.8549, 0.0000, 0.3960
  2.489, 0.7500, 0.00969, 0.00386,-0.1037,0.7182,1.0000,-0.9168, 0.0000, 0.3851
  2.945, 0.8000, 0.00981, 0.00394,-0.1033,0.6980,1.0000,-0.9866, 0.0000, 0.3756
  3.403, 0.8500, 0.00998, 0.00404,-0.1028,0.6765,1.0000,-1.0676, 0.0000, 0.3670
  3.866, 0.9000, 0.01017, 0.00421,-0.1023,0.6522,1.0000,-1.1685, 0.0000, 0.3592
  4.334, 0.9500, 0.01042, 0.00444,-0.1018,0.6249,1.0000,-1.3210, 0.0000, 0.3521
  4.809, 1.0000, 0.01074, 0.00474,-0.1011,0.5946,1.0000,-1.5504, 0.0000, 0.3456
  5.295, 1.0500, 0.01115, 0.00512,-0.1002,0.5586,1.0000,-1.8210, 0.0000, 0.3394
  5.800, 1.1000, 0.01168, 0.00560,-0.0990,0.5125,1.0000,-2.1381, 0.0000, 0.3333
  6.328, 1.1500, 0.01242, 0.00623,-0.0975,0.4548,1.0000,-2.5123, 0.0000, 0.3274
  6.912, 1.2000, 0.01365, 0.00719,-0.0952,0.3694,1.0000,-2.9550, 0.0000, 0.3212
  7.585, 1.2500, 0.01577, 0.00884,-0.0918,0.2531,1.0000,-3.4724, 0.0000, 0.3145
  8.602, 1.3000, 0.02111, 0.01308,-0.0837,0.0744,1.0000,-4.1710, 0.0000, 0.3041
 10.375, 1.3500, 0.03147, 0.02374,-0.0658,0.0339,1.0000,-5.2004, 0.0000, 0.2859
 11.974, 1.4000, 0.04360, 0.03637,-0.0539,0.0249,1.0000,-6.2079, 0.0000, 0.2731


