xflr5 v6.47

 Calculated polar for: DAE51

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.220 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -4.352,-0.0000, 0.02999, 0.02501,-0.1146,0.9254,0.0932,-1.6868, 0.0000,-3306493948.6839
 -3.884, 0.0500, 0.02628, 0.02102,-0.1156,0.9146,0.1093,-1.5363, 0.0000, 2.5846
 -3.551, 0.1000, 0.01821, 0.01105,-0.1137,0.9063,0.0402,-2.0970, 0.0000, 1.3995
 -3.087, 0.1500, 0.01582, 0.00851,-0.1132,0.8957,0.0461,-1.8678, 0.0000, 1.0119
 -2.624, 0.2000, 0.01429, 0.00683,-0.1121,0.8848,0.0525,-1.6782, 0.0000, 0.8154
 -2.157, 0.2500, 0.01318, 0.00577,-0.1115,0.8721,0.0733,-1.4710, 0.0000, 0.6990
 -1.687, 0.3000, 0.01136, 0.00511,-0.1116,0.8595,0.3800,-1.2415, 0.0000, 0.6240
 -1.073, 0.3500, 0.00990, 0.00507,-0.1064,0.8432,0.8544,-0.8984, 0.0000, 0.5547
 -0.683, 0.4000, 0.00972, 0.00477,-0.1071,0.8323,1.0000,-0.6529, 0.0000, 0.5179
 -0.231, 0.4500, 0.00978, 0.00458,-0.1067,0.8194,1.0000,-0.6243, 0.0000, 0.4867
  0.221, 0.5000, 0.00984, 0.00443,-0.1063,0.8060,1.0000,-0.6626, 0.0000, 0.4617
  0.673, 0.5500, 0.00990, 0.00433,-0.1059,0.7919,1.0000,-0.7039, 0.0000, 0.4411
  1.126, 0.6000, 0.00998, 0.00426,-0.1055,0.7768,1.0000,-0.7490, 0.0000, 0.4239
  1.580, 0.6500, 0.01006, 0.00424,-0.1050,0.7606,1.0000,-0.7986, 0.0000, 0.4093
  2.034, 0.7000, 0.01014, 0.00423,-0.1046,0.7435,1.0000,-0.8538, 0.0000, 0.3967
  2.488, 0.7500, 0.01022, 0.00423,-0.1041,0.7256,1.0000,-0.9158, 0.0000, 0.3857
  2.945, 0.8000, 0.01034, 0.00430,-0.1036,0.7062,1.0000,-0.9856, 0.0000, 0.3760
  3.406, 0.8500, 0.01048, 0.00441,-0.1031,0.6838,1.0000,-1.0667, 0.0000, 0.3673
  3.869, 0.9000, 0.01066, 0.00458,-0.1026,0.6601,1.0000,-1.1676, 0.0000, 0.3595
  4.337, 0.9500, 0.01089, 0.00477,-0.1019,0.6340,1.0000,-1.3197, 0.0000, 0.3523
  4.813, 1.0000, 0.01119, 0.00507,-0.1011,0.6037,1.0000,-1.5485, 0.0000, 0.3457
  5.299, 1.0500, 0.01157, 0.00543,-0.1002,0.5680,1.0000,-1.8189, 0.0000, 0.3394
  5.804, 1.1000, 0.01208, 0.00590,-0.0990,0.5234,1.0000,-2.1355, 0.0000, 0.3333
  6.333, 1.1500, 0.01279, 0.00651,-0.0973,0.4665,1.0000,-2.5096, 0.0000, 0.3274
  6.915, 1.2000, 0.01395, 0.00744,-0.0950,0.3845,1.0000,-2.9500, 0.0000, 0.3211
  7.595, 1.2500, 0.01605, 0.00909,-0.0914,0.2672,1.0000,-3.4696, 0.0000, 0.3142
  8.726, 1.3000, 0.02231, 0.01413,-0.0817,0.0717,1.0000,-4.2132, 0.0000, 0.3024
 10.623, 1.3500, 0.03404, 0.02627,-0.0628,0.0344,1.0000,-5.2667, 0.0000, 0.2833
 12.031, 1.4000, 0.04474, 0.03756,-0.0528,0.0265,1.0000,-6.1654, 0.0000, 0.2723


