xflr5 v6.61

 Calculated polar for: C:/Users/yunic/OneDrive/ï∂ûÉ/26ë„ÉyÉâê›åv/ge51_25.dat

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.080 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-20.000,-0.3552, 0.19171, 0.18622,-0.0150,1.0000,0.0654,-1.0577, 0.0000, 0.0000, 0.0000, 0.1934
-19.000,-0.3228, 0.17635, 0.17086,-0.0180,1.0000,0.0708,-0.9714, 0.0000, 0.0000, 0.0000, 0.1801
-18.000,-0.3158, 0.17133, 0.16585,-0.0238,1.0000,0.0798,-1.0691, 0.0000, 0.0000, 0.0000, 0.1608
-17.000,-0.2861, 0.15773, 0.15226,-0.0266,1.0000,0.0855,-1.0050, 0.0000, 0.0000, 0.0000, 0.1431
-16.000,-0.2891, 0.15423, 0.14879,-0.0321,1.0000,0.0957,-1.1103, 0.0000, 0.0000, 0.0000, 0.1254
-15.000,-0.2542, 0.14039, 0.13497,-0.0337,1.0000,0.1085,-1.0207, 0.0000, 0.0000, 0.0000, 0.1037
-14.000,-0.2419, 0.13137, 0.12601,-0.0364,1.0000,0.1187,-1.0517, 0.0000, 0.0000, 0.0000, 0.0854
-13.000,-0.2448, 0.12394, 0.11866,-0.0393,1.0000,0.1318,-1.1256, 0.0000, 0.0000, 0.0000, 0.0760
-12.000,-0.2392, 0.11548, 0.11025,-0.0396,1.0000,0.1507,-1.1170, 0.0000, 0.0000, 0.0000, 0.0709
-11.000,-0.2419, 0.10580, 0.10067,-0.0395,1.0000,0.1693,-1.1683, 0.0000, 0.0000, 0.0000, 0.0739
-10.000,-0.2514, 0.09512, 0.09018,-0.0380,1.0000,0.1910,-1.2154, 0.0000, 0.0000, 0.0000, 0.0873
 -9.000,-0.3835, 0.09568, 0.09031,-0.0358,1.0000,0.2034,-1.6225, 0.0000, 0.0000, 0.0000, 0.1442
 -8.000,-0.4429, 0.08595, 0.08108,-0.0321,1.0000,0.2309,-1.7491, 0.0000, 0.0000, 0.0000, 0.1681
 -7.000,-0.6462, 0.05123, 0.04490,-0.0320,1.0000,0.0947,-3.0403, 0.0000, 0.0000, 0.0000, 0.1929
 -6.000,-0.6144, 0.03881, 0.03095,-0.0248,1.0000,0.0934,-3.0236, 0.0000, 0.0000, 0.0000, 0.2025
