xflr5 v6.47

 Calculated polar for: DAE51

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.030 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -1.466,-0.0000, 0.03430, 0.02225,-0.0706,1.0000,0.2746,-1.4868, 0.0000,-506879405058.8652
 -1.076, 0.0500, 0.03197, 0.02031,-0.0714,1.0000,0.3947,-1.4364, 0.0000, 1.6866
 -0.409, 0.1000, 0.02893, 0.01781,-0.0653,1.0000,1.0000,-1.3248, 0.0000, 0.9063
  0.160, 0.1500, 0.03059, 0.01845,-0.0660,1.0000,1.0000,-1.0445, 0.0000, 0.6906
  0.764, 0.2000, 0.03264, 0.01978,-0.0667,1.0000,1.0000,-0.7789, 0.0000, 0.5825
  1.404, 0.2500, 0.03517, 0.02178,-0.0674,1.0000,1.0000,-0.5264, 0.0000, 0.5176
  2.084, 0.3000, 0.03828, 0.02451,-0.0682,1.0000,1.0000,-0.5249, 0.0000, 0.4746
  2.812, 0.3500, 0.04213, 0.02812,-0.0692,1.0000,1.0000,-0.5636, 0.0000, 0.4441
  3.603, 0.4000, 0.04696, 0.03286,-0.0705,1.0000,1.0000,-0.6073, 0.0000, 0.4217
  4.475, 0.4500, 0.05317, 0.03913,-0.0721,1.0000,1.0000,-0.6574, 0.0000, 0.4050
  4.805, 0.5000, 0.05700, 0.04307,-0.0791,0.9788,1.0000,-0.7026, 0.0000, 0.4027
  5.448, 0.6000, 0.06459, 0.05099,-0.0916,0.9160,1.0000,-0.8087, 0.0000, 0.3966
  5.915, 0.6500, 0.06939, 0.05608,-0.0959,0.8738,1.0000,-0.8788, 0.0000, 0.3910
  6.158, 0.5500, 0.06915, 0.05565,-0.0804,0.9874,1.0000,-0.7763, 0.0000, 0.3891
  6.947, 0.7500, 0.07983, 0.06725,-0.1013,0.7741,1.0000,-1.0920, 0.0000, 0.3777
  7.985, 0.8500, 0.08977, 0.07812,-0.1030,0.6659,1.0000,-1.4714, 0.0000, 0.3629
  8.685, 0.9000, 0.09633, 0.08530,-0.1010,0.5937,1.0000,-1.7331, 0.0000, 0.3533
  9.330, 0.9500, 0.10144, 0.09108,-0.0971,0.5194,1.0000,-2.0193, 0.0000, 0.3426
  9.426, 1.2000, 0.06528, 0.05667,-0.0739,0.3781,1.0000,-3.2920, 0.0000, 0.3013
 10.614, 1.3000, 0.07131, 0.06236,-0.0562,0.2061,1.0000,-3.8982, 0.0000, 0.2810


