xflr5 v6.47

 Calculated polar for: DAE51

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.190 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -4.277,-0.0000, 0.01499, 0.01050,-0.1081,0.9163,0.1096,-1.4506, 0.0000,-916464148.3682
 -3.948, 0.0500, 0.02177, 0.01509,-0.1154,0.9287,0.0457,-2.1324, 0.0000, 2.5856
 -3.515, 0.1000, 0.01891, 0.01163,-0.1152,0.9174,0.0455,-2.0377, 0.0000, 1.4149
 -3.085, 0.1500, 0.01749, 0.00987,-0.1150,0.9070,0.0505,-1.8346, 0.0000, 1.0241
 -2.653, 0.2000, 0.01559, 0.00794,-0.1148,0.8982,0.0587,-1.6495, 0.0000, 0.8291
 -2.191, 0.2500, 0.01433, 0.00670,-0.1142,0.8858,0.0800,-1.4679, 0.0000, 0.7098
 -1.713, 0.3000, 0.01227, 0.00603,-0.1141,0.8727,0.4322,-1.2463, 0.0000, 0.6324
 -1.144, 0.3500, 0.01079, 0.00590,-0.1092,0.8576,0.9554,-0.9176, 0.0000, 0.5629
 -0.709, 0.4000, 0.01083, 0.00564,-0.1093,0.8448,1.0000,-0.6610, 0.0000, 0.5234
 -0.252, 0.4500, 0.01091, 0.00545,-0.1087,0.8313,1.0000,-0.6214, 0.0000, 0.4912
  0.205, 0.5000, 0.01098, 0.00531,-0.1081,0.8175,1.0000,-0.6598, 0.0000, 0.4654
  0.662, 0.5500, 0.01104, 0.00520,-0.1075,0.8031,1.0000,-0.7012, 0.0000, 0.4441
  1.119, 0.6000, 0.01110, 0.00512,-0.1069,0.7881,1.0000,-0.7464, 0.0000, 0.4264
  1.576, 0.6500, 0.01116, 0.00507,-0.1063,0.7722,1.0000,-0.7962, 0.0000, 0.4113
  2.033, 0.7000, 0.01122, 0.00502,-0.1056,0.7556,1.0000,-0.8516, 0.0000, 0.3983
  2.488, 0.7500, 0.01127, 0.00499,-0.1050,0.7385,1.0000,-0.9137, 0.0000, 0.3870
  2.950, 0.8000, 0.01138, 0.00509,-0.1044,0.7181,1.0000,-0.9837, 0.0000, 0.3770
  3.411, 0.8500, 0.01148, 0.00515,-0.1037,0.6971,1.0000,-1.0649, 0.0000, 0.3681
  3.876, 0.9000, 0.01163, 0.00530,-0.1030,0.6736,1.0000,-1.1658, 0.0000, 0.3601
  4.344, 0.9500, 0.01180, 0.00545,-0.1023,0.6483,1.0000,-1.3173, 0.0000, 0.3527
  4.820, 1.0000, 0.01206, 0.00571,-0.1014,0.6189,1.0000,-1.5455, 0.0000, 0.3459
  5.307, 1.0500, 0.01239, 0.00606,-0.1003,0.5840,1.0000,-1.8147, 0.0000, 0.3396
  5.810, 1.1000, 0.01284, 0.00649,-0.0990,0.5415,1.0000,-2.1304, 0.0000, 0.3334
  6.341, 1.1500, 0.01349, 0.00707,-0.0972,0.4860,1.0000,-2.5038, 0.0000, 0.3273
  6.919, 1.2000, 0.01453, 0.00795,-0.0948,0.4094,1.0000,-2.9401, 0.0000, 0.3209
  7.609, 1.2500, 0.01658, 0.00956,-0.0909,0.2915,1.0000,-3.4629, 0.0000, 0.3137
  8.973, 1.3000, 0.02453, 0.01620,-0.0776,0.0684,1.0000,-4.2942, 0.0000, 0.2989
 10.834, 1.3500, 0.03713, 0.02921,-0.0597,0.0369,1.0000,-5.2720, 0.0000, 0.2807
 11.902, 1.4000, 0.04591, 0.03849,-0.0528,0.0300,1.0000,-5.9815, 0.0000, 0.2725


