xflr5 v6.47

 Calculated polar for: DAE51

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.260 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -3.959, 0.0500, 0.01853, 0.01215,-0.1117,0.9023,0.0361,-2.2799, 0.0000, 2.5125
 -3.498, 0.1000, 0.01596, 0.00908,-0.1109,0.8910,0.0364,-2.1446, 0.0000, 1.3711
 -3.036, 0.1500, 0.01461, 0.00746,-0.1099,0.8802,0.0406,-1.9031, 0.0000, 0.9900
 -2.568, 0.2000, 0.01307, 0.00587,-0.1091,0.8696,0.0482,-1.6826, 0.0000, 0.8000
 -2.110, 0.2500, 0.01203, 0.00482,-0.1087,0.8573,0.0673,-1.4755, 0.0000, 0.6877
 -1.650, 0.3000, 0.01049, 0.00424,-0.1090,0.8452,0.3308,-1.2337, 0.0000, 0.6152
 -1.138, 0.3500, 0.00930, 0.00424,-0.1074,0.8316,0.7079,-0.9231, 0.0000, 0.5576
 -0.655, 0.4000, 0.00866, 0.00396,-0.1052,0.8186,1.0000,-0.6450, 0.0000, 0.5130
 -0.209, 0.4500, 0.00872, 0.00378,-0.1050,0.8061,1.0000,-0.6270, 0.0000, 0.4828
  0.238, 0.5000, 0.00878, 0.00365,-0.1047,0.7930,1.0000,-0.6651, 0.0000, 0.4585
  0.685, 0.5500, 0.00886, 0.00355,-0.1045,0.7790,1.0000,-0.7063, 0.0000, 0.4386
  1.134, 0.6000, 0.00894, 0.00350,-0.1042,0.7638,1.0000,-0.7512, 0.0000, 0.4219
  1.584, 0.6500, 0.00903, 0.00350,-0.1040,0.7474,1.0000,-0.8007, 0.0000, 0.4077
  2.036, 0.7000, 0.00913, 0.00351,-0.1037,0.7299,1.0000,-0.8558, 0.0000, 0.3954
  2.488, 0.7500, 0.00924, 0.00354,-0.1034,0.7115,1.0000,-0.9176, 0.0000, 0.3847
  2.943, 0.8000, 0.00938, 0.00363,-0.1030,0.6916,1.0000,-0.9874, 0.0000, 0.3752
  3.402, 0.8500, 0.00955, 0.00376,-0.1026,0.6688,1.0000,-1.0683, 0.0000, 0.3667
  3.864, 0.9000, 0.00977, 0.00395,-0.1022,0.6442,1.0000,-1.1692, 0.0000, 0.3591
  4.331, 0.9500, 0.01003, 0.00417,-0.1017,0.6171,1.0000,-1.3218, 0.0000, 0.3520
  4.806, 1.0000, 0.01037, 0.00449,-0.1010,0.5861,1.0000,-1.5517, 0.0000, 0.3455
  5.292, 1.0500, 0.01081, 0.00486,-0.1002,0.5499,1.0000,-1.8232, 0.0000, 0.3393
  5.797, 1.1000, 0.01136, 0.00535,-0.0990,0.5026,1.0000,-2.1407, 0.0000, 0.3334
  6.325, 1.1500, 0.01213, 0.00600,-0.0976,0.4435,1.0000,-2.5149, 0.0000, 0.3275
  6.908, 1.2000, 0.01340, 0.00698,-0.0953,0.3557,1.0000,-2.9588, 0.0000, 0.3214
  7.575, 1.2500, 0.01552, 0.00862,-0.0921,0.2410,1.0000,-3.4735, 0.0000, 0.3148
  8.522, 1.3000, 0.02029, 0.01238,-0.0851,0.0753,1.0000,-4.1443, 0.0000, 0.3053
 10.080, 1.3500, 0.02877, 0.02104,-0.0694,0.0340,1.0000,-5.0986, 0.0000, 0.2890
 11.955, 1.4000, 0.04296, 0.03590,-0.0543,0.0238,1.0000,-6.2210, 0.0000, 0.2735


