xflr5 v6.47

 Calculated polar for: DAE51

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -3.956, 0.0500, 0.02089, 0.01413,-0.1149,0.9234,0.0431,-2.1990, 0.0000, 2.5751
 -3.551, 0.1000, 0.01824, 0.01098,-0.1152,0.9153,0.0432,-2.0855, 0.0000, 1.4146
 -3.096, 0.1500, 0.01684, 0.00936,-0.1146,0.9033,0.0491,-1.8469, 0.0000, 1.0214
 -2.636, 0.2000, 0.01509, 0.00754,-0.1139,0.8918,0.0565,-1.6582, 0.0000, 0.8241
 -2.180, 0.2500, 0.01401, 0.00642,-0.1132,0.8808,0.0769,-1.4682, 0.0000, 0.7059
 -1.711, 0.3000, 0.01191, 0.00564,-0.1132,0.8696,0.4098,-1.2464, 0.0000, 0.6293
 -1.106, 0.3500, 0.01043, 0.00558,-0.1077,0.8528,0.9248,-0.9063, 0.0000, 0.5585
 -0.703, 0.4000, 0.01038, 0.00526,-0.1084,0.8414,1.0000,-0.6585, 0.0000, 0.5212
 -0.247, 0.4500, 0.01046, 0.00508,-0.1079,0.8277,1.0000,-0.6226, 0.0000, 0.4895
  0.209, 0.5000, 0.01053, 0.00495,-0.1074,0.8138,1.0000,-0.6609, 0.0000, 0.4639
  0.665, 0.5500, 0.01060, 0.00485,-0.1069,0.7994,1.0000,-0.7022, 0.0000, 0.4430
  1.121, 0.6000, 0.01066, 0.00477,-0.1063,0.7844,1.0000,-0.7474, 0.0000, 0.4254
  1.576, 0.6500, 0.01073, 0.00471,-0.1058,0.7688,1.0000,-0.7972, 0.0000, 0.4105
  2.030, 0.7000, 0.01079, 0.00467,-0.1052,0.7526,1.0000,-0.8524, 0.0000, 0.3977
  2.490, 0.7500, 0.01090, 0.00474,-0.1047,0.7336,1.0000,-0.9145, 0.0000, 0.3865
  2.949, 0.8000, 0.01099, 0.00480,-0.1041,0.7136,1.0000,-0.9845, 0.0000, 0.3766
  3.406, 0.8500, 0.01109, 0.00482,-0.1035,0.6936,1.0000,-1.0655, 0.0000, 0.3678
  3.874, 0.9000, 0.01126, 0.00502,-0.1028,0.6689,1.0000,-1.1665, 0.0000, 0.3598
  4.343, 0.9500, 0.01147, 0.00522,-0.1021,0.6426,1.0000,-1.3184, 0.0000, 0.3526
  4.818, 1.0000, 0.01173, 0.00549,-0.1013,0.6130,1.0000,-1.5467, 0.0000, 0.3458
  5.303, 1.0500, 0.01209, 0.00580,-0.1003,0.5791,1.0000,-1.8162, 0.0000, 0.3395
  5.808, 1.1000, 0.01257, 0.00626,-0.0990,0.5356,1.0000,-2.1324, 0.0000, 0.3333
  6.339, 1.1500, 0.01324, 0.00686,-0.0972,0.4791,1.0000,-2.5062, 0.0000, 0.3273
  6.918, 1.2000, 0.01432, 0.00776,-0.0948,0.4008,1.0000,-2.9442, 0.0000, 0.3210
  7.603, 1.2500, 0.01638, 0.00939,-0.0911,0.2832,1.0000,-3.4652, 0.0000, 0.3139
  8.863, 1.3000, 0.02361, 0.01533,-0.0794,0.0703,1.0000,-4.2564, 0.0000, 0.3004
 10.788, 1.3500, 0.03623, 0.02838,-0.0605,0.0358,1.0000,-5.2816, 0.0000, 0.2813
 11.961, 1.4000, 0.04563, 0.03836,-0.0525,0.0287,1.0000,-6.0398, 0.0000, 0.2722


