xflr5 v6.47

 Calculated polar for: DAE51

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.070 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.008,-0.0000, 0.02918, 0.01952,-0.0792,0.9860,0.1070,-1.7050, 0.0000,-1189731960230.1553
 -1.726, 0.0500, 0.02804, 0.01812,-0.0828,0.9787,0.1201,-1.5980, 0.0000, 1.9205
 -1.457, 0.1000, 0.02682, 0.01704,-0.0867,0.9726,0.1442,-1.5007, 0.0000, 1.1234
 -1.171, 0.1500, 0.02544, 0.01612,-0.0903,0.9652,0.2384,-1.4127, 0.0000, 0.8556
 -0.786, 0.2000, 0.02316, 0.01586,-0.0903,0.9542,1.0000,-1.2329, 0.0000, 0.7036
 -0.493, 0.2500, 0.02385, 0.01607,-0.0943,0.9439,1.0000,-1.0097, 0.0000, 0.6283
 -0.149, 0.3000, 0.02462, 0.01645,-0.0975,0.9302,1.0000,-0.7829, 0.0000, 0.5750
  0.202, 0.3500, 0.02541, 0.01693,-0.1003,0.9161,1.0000,-0.5821, 0.0000, 0.5362
  0.560, 0.4000, 0.02619, 0.01748,-0.1029,0.9014,1.0000,-0.5759, 0.0000, 0.5064
  0.924, 0.4500, 0.02696, 0.01806,-0.1053,0.8865,1.0000,-0.6122, 0.0000, 0.4827
  1.291, 0.5000, 0.02769, 0.01866,-0.1074,0.8712,1.0000,-0.6516, 0.0000, 0.4631
  1.659, 0.5500, 0.02835, 0.01923,-0.1093,0.8558,1.0000,-0.6941, 0.0000, 0.4466
  2.114, 0.6000, 0.02934, 0.02018,-0.1097,0.8342,1.0000,-0.7425, 0.0000, 0.4303
  2.400, 0.6500, 0.02943, 0.02026,-0.1123,0.8247,1.0000,-0.7910, 0.0000, 0.4200
  3.272, 0.7500, 0.03055, 0.02148,-0.1121,0.7836,1.0000,-0.9151, 0.0000, 0.3959
  4.522, 0.9000, 0.03036, 0.02171,-0.1096,0.7248,1.0000,-1.1970, 0.0000, 0.3670
  5.356, 1.0000, 0.02902, 0.02077,-0.1061,0.6814,1.0000,-1.5930, 0.0000, 0.3504
  5.793, 1.0500, 0.02819, 0.02017,-0.1037,0.6543,1.0000,-1.8558, 0.0000, 0.3425
  6.211, 1.1000, 0.02706, 0.01927,-0.1013,0.6256,1.0000,-2.1487, 0.0000, 0.3353
  6.615, 1.1500, 0.02572, 0.01805,-0.0988,0.5933,1.0000,-2.4784, 0.0000, 0.3287
  7.123, 1.2000, 0.02495, 0.01743,-0.0948,0.5380,1.0000,-2.8745, 0.0000, 0.3210
  7.755, 1.2500, 0.02480, 0.01723,-0.0886,0.4475,1.0000,-3.3702, 0.0000, 0.3120
 11.834, 1.4000, 0.06554, 0.05770,-0.0501,0.0699,1.0000,-5.0837, 0.0000, 0.2711
 12.556, 1.3500, 0.07642, 0.06953,-0.0415,0.0696,1.0000,-4.9910, 0.0000, 0.2651
 13.110, 1.3000, 0.08680, 0.08048,-0.0388,0.0702,1.0000,-4.8552, 0.0000, 0.2634


