xflr5 v6.47

 Calculated polar for: DAE51

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.130 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -3.605, 0.0000, 0.02711, 0.01988,-0.1032,0.9425,0.0607,-2.0247, 0.0000,414028465.2898
 -3.239, 0.0500, 0.02473, 0.01681,-0.1048,0.9332,0.0627,-1.9364, 0.0000, 2.3693
 -2.961, 0.1000, 0.02265, 0.01431,-0.1081,0.9302,0.0637,-1.8332, 0.0000, 1.3421
 -2.597, 0.1500, 0.02067, 0.01228,-0.1101,0.9220,0.0727,-1.6551, 0.0000, 0.9905
 -2.282, 0.2000, 0.01920, 0.01082,-0.1127,0.9167,0.0855,-1.5375, 0.0000, 0.8178
 -1.904, 0.2500, 0.01787, 0.00973,-0.1142,0.9072,0.1369,-1.3894, 0.0000, 0.7099
 -1.443, 0.3000, 0.01492, 0.00938,-0.1125,0.8991,0.8315,-1.1512, 0.0000, 0.6269
 -1.062, 0.3500, 0.01480, 0.00905,-0.1135,0.8870,1.0000,-0.8940, 0.0000, 0.5753
 -0.639, 0.4000, 0.01496, 0.00887,-0.1138,0.8738,1.0000,-0.6506, 0.0000, 0.5348
 -0.205, 0.4500, 0.01510, 0.00875,-0.1138,0.8603,1.0000,-0.6129, 0.0000, 0.5026
  0.238, 0.5000, 0.01522, 0.00866,-0.1134,0.8462,1.0000,-0.6509, 0.0000, 0.4760
  0.688, 0.5500, 0.01532, 0.00860,-0.1128,0.8316,1.0000,-0.6924, 0.0000, 0.4538
  1.144, 0.6000, 0.01539, 0.00854,-0.1120,0.8164,1.0000,-0.7380, 0.0000, 0.4349
  1.603, 0.6500, 0.01543, 0.00848,-0.1110,0.8006,1.0000,-0.7882, 0.0000, 0.4186
  2.061, 0.7000, 0.01541, 0.00839,-0.1100,0.7845,1.0000,-0.8438, 0.0000, 0.4045
  2.519, 0.7500, 0.01536, 0.00829,-0.1089,0.7680,1.0000,-0.9063, 0.0000, 0.3921
  2.990, 0.8000, 0.01542, 0.00834,-0.1077,0.7482,1.0000,-0.9772, 0.0000, 0.3812
  3.457, 0.8500, 0.01540, 0.00834,-0.1065,0.7276,1.0000,-1.0592, 0.0000, 0.3714
  3.910, 0.9000, 0.01526, 0.00819,-0.1054,0.7084,1.0000,-1.1597, 0.0000, 0.3627
  4.389, 0.9500, 0.01534, 0.00833,-0.1041,0.6823,1.0000,-1.3116, 0.0000, 0.3547
  4.866, 1.0000, 0.01539, 0.00845,-0.1027,0.6547,1.0000,-1.5385, 0.0000, 0.3473
  5.345, 1.0500, 0.01547, 0.00856,-0.1013,0.6239,1.0000,-1.8037, 0.0000, 0.3405
  5.845, 1.1000, 0.01570, 0.00886,-0.0996,0.5852,1.0000,-2.1162, 0.0000, 0.3340
  6.367, 1.1500, 0.01605, 0.00919,-0.0974,0.5360,1.0000,-2.4829, 0.0000, 0.3274
  6.943, 1.2000, 0.01677, 0.00990,-0.0944,0.4668,1.0000,-2.9113, 0.0000, 0.3207
  7.636, 1.2500, 0.01839, 0.01127,-0.0898,0.3570,1.0000,-3.4325, 0.0000, 0.3129
  9.905, 1.3000, 0.03366, 0.02487,-0.0641,0.0639,1.0000,-4.5709, 0.0000, 0.2872
 10.763, 1.3500, 0.04063, 0.03193,-0.0586,0.0489,1.0000,-5.0735, 0.0000, 0.2801
 11.503, 1.4000, 0.04710, 0.03894,-0.0549,0.0421,1.0000,-5.5655, 0.0000, 0.2748


