xflr5 v6.47

 Calculated polar for: DAE51

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -1.531,-0.0000, 0.03049, 0.01995,-0.0717,1.0000,0.1560,-1.5742, 0.0000,-216776994665156.0938
 -1.088, 0.0500, 0.02917, 0.01849,-0.0724,1.0000,0.1986,-1.4849, 0.0000, 1.7075
 -0.844, 0.1000, 0.02652, 0.01755,-0.0762,1.0000,0.4698,-1.4460, 0.0000, 1.0162
 -0.006, 0.1500, 0.02694, 0.01787,-0.0702,1.0000,1.0000,-1.1411, 0.0000, 0.7192
  0.338, 0.2000, 0.02837, 0.01882,-0.0746,0.9909,1.0000,-0.9098, 0.0000, 0.6226
  0.623, 0.2500, 0.02970, 0.01979,-0.0796,0.9780,1.0000,-0.7209, 0.0000, 0.5676
  0.930, 0.3000, 0.03109, 0.02089,-0.0843,0.9636,1.0000,-0.5364, 0.0000, 0.5296
  1.251, 0.3500, 0.03252, 0.02208,-0.0886,0.9480,1.0000,-0.5458, 0.0000, 0.5013
  1.581, 0.4000, 0.03397, 0.02336,-0.0926,0.9318,1.0000,-0.5812, 0.0000, 0.4794
  1.912, 0.4500, 0.03541, 0.02468,-0.0964,0.9152,1.0000,-0.6192, 0.0000, 0.4618
  2.343, 0.5000, 0.03721, 0.02639,-0.0987,0.8918,1.0000,-0.6617, 0.0000, 0.4445
  2.707, 0.5500, 0.03871, 0.02786,-0.1015,0.8723,1.0000,-0.7071, 0.0000, 0.4315
  3.154, 0.6000, 0.04057, 0.02973,-0.1031,0.8469,1.0000,-0.7593, 0.0000, 0.4183
  3.514, 0.6500, 0.04188, 0.03111,-0.1054,0.8269,1.0000,-0.8144, 0.0000, 0.4083
  3.977, 0.7000, 0.04367, 0.03301,-0.1062,0.7990,1.0000,-0.8796, 0.0000, 0.3973
  4.435, 0.7500, 0.04530, 0.03482,-0.1066,0.7708,1.0000,-0.9554, 0.0000, 0.3873
  5.326, 0.8500, 0.04779, 0.03778,-0.1062,0.7133,1.0000,-1.1729, 0.0000, 0.3693
  5.629, 0.9000, 0.04742, 0.03765,-0.1066,0.6949,1.0000,-1.3261, 0.0000, 0.3625
  6.682, 1.0500, 0.04415, 0.03539,-0.1015,0.6225,1.0000,-2.0268, 0.0000, 0.3396
  7.222, 1.1500, 0.03826, 0.03010,-0.0970,0.5780,1.0000,-2.5937, 0.0000, 0.3265
 12.256, 1.3500, 0.08151, 0.07403,-0.0436,0.0973,1.0000,-4.6558, 0.0000, 0.2674
 12.373, 1.3000, 0.08348, 0.07638,-0.0414,0.1003,1.0000,-4.4500, 0.0000, 0.2668
 12.665, 1.2500, 0.09103, 0.08429,-0.0413,0.1037,1.0000,-4.2478, 0.0000, 0.2676
 13.056, 1.2000, 0.10200, 0.09550,-0.0438,0.1067,1.0000,-4.0438, 0.0000, 0.2706


