xflr5 v6.47

 Calculated polar for: DAE51

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.020 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -0.865,-0.0000, 0.03137, 0.02131,-0.0507,1.0000,1.0000,-1.4887, 0.0000,-5235327621.5086
 -0.798, 0.0500, 0.03162, 0.01904,-0.0614,1.0000,1.0000,-1.4811, 0.0000, 1.4867
 -0.271, 0.1000, 0.03286, 0.01867,-0.0622,1.0000,1.0000,-1.2388, 0.0000, 0.8740
  0.307, 0.1500, 0.03447, 0.01921,-0.0627,1.0000,1.0000,-0.9674, 0.0000, 0.6680
  0.918, 0.2000, 0.03647, 0.02039,-0.0632,1.0000,1.0000,-0.7175, 0.0000, 0.5647
  1.560, 0.2500, 0.03894, 0.02226,-0.0638,1.0000,1.0000,-0.4957, 0.0000, 0.5028
  2.239, 0.3000, 0.04196, 0.02485,-0.0645,1.0000,1.0000,-0.5312, 0.0000, 0.4618
  2.965, 0.3500, 0.04571, 0.02833,-0.0654,1.0000,1.0000,-0.5711, 0.0000, 0.4329
  3.748, 0.4000, 0.05040, 0.03293,-0.0665,1.0000,1.0000,-0.6160, 0.0000, 0.4116
  4.611, 0.4500, 0.05643, 0.03904,-0.0681,1.0000,1.0000,-0.6676, 0.0000, 0.3958
  5.588, 0.5000, 0.06445, 0.04734,-0.0703,1.0000,1.0000,-0.7282, 0.0000, 0.3841
  6.736, 0.5500, 0.07564, 0.05909,-0.0736,1.0000,1.0000,-0.8057, 0.0000, 0.3761
  8.153, 0.6000, 0.09219, 0.07646,-0.0787,1.0000,1.0000,-0.9250, 0.0000, 0.3719
  9.864, 0.6500, 0.11602, 0.10147,-0.0868,0.9976,1.0000,-1.1180, 0.0000, 0.3725
 10.978, 0.7500, 0.14122, 0.12795,-0.1067,0.8579,1.0000,-1.3775, 0.0000, 0.3802
 12.004, 0.8000, 0.15974, 0.14726,-0.1130,0.7547,1.0000,-1.5221, 0.0000, 0.3783
 16.483, 0.9500, 0.22738, 0.21640,-0.1288,0.4673,1.0000,-1.7130, 0.0000, 0.3676
 17.979, 1.0000, 0.24888, 0.23813,-0.1353,0.4056,1.0000,-1.7380, 0.0000, 0.3650


