xflr5 v6.47

 Calculated polar for: DAE51

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.150 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -3.570, 0.0500, 0.02305, 0.01551,-0.1100,0.9324,0.0529,-2.0715, 0.0000, 2.4747
 -3.265, 0.1000, 0.02121, 0.01346,-0.1131,0.9290,0.0576,-1.8958, 0.0000, 1.3928
 -2.865, 0.1500, 0.01938, 0.01130,-0.1136,0.9188,0.0612,-1.7427, 0.0000, 1.0145
 -2.531, 0.2000, 0.01785, 0.00976,-0.1158,0.9140,0.0724,-1.5907, 0.0000, 0.8335
 -2.101, 0.2500, 0.01653, 0.00853,-0.1160,0.9020,0.1017,-1.4292, 0.0000, 0.7170
 -1.629, 0.3000, 0.01399, 0.00804,-0.1159,0.8897,0.6039,-1.2153, 0.0000, 0.6383
 -1.148, 0.3500, 0.01310, 0.00774,-0.1129,0.8768,1.0000,-0.9190, 0.0000, 0.5737
 -0.712, 0.4000, 0.01317, 0.00748,-0.1128,0.8644,1.0000,-0.6656, 0.0000, 0.5324
 -0.267, 0.4500, 0.01323, 0.00726,-0.1124,0.8517,1.0000,-0.6159, 0.0000, 0.4995
  0.185, 0.5000, 0.01328, 0.00709,-0.1117,0.8383,1.0000,-0.6542, 0.0000, 0.4726
  0.646, 0.5500, 0.01336, 0.00699,-0.1109,0.8235,1.0000,-0.6958, 0.0000, 0.4503
  1.113, 0.6000, 0.01345, 0.00695,-0.1100,0.8075,1.0000,-0.7413, 0.0000, 0.4315
  1.579, 0.6500, 0.01353, 0.00693,-0.1090,0.7907,1.0000,-0.7914, 0.0000, 0.4156
  2.043, 0.7000, 0.01357, 0.00690,-0.1081,0.7736,1.0000,-0.8470, 0.0000, 0.4018
  2.504, 0.7500, 0.01358, 0.00685,-0.1072,0.7562,1.0000,-0.9095, 0.0000, 0.3898
  2.961, 0.8000, 0.01355, 0.00676,-0.1062,0.7386,1.0000,-0.9796, 0.0000, 0.3793
  3.432, 0.8500, 0.01364, 0.00688,-0.1052,0.7166,1.0000,-1.0614, 0.0000, 0.3699
  3.893, 0.9000, 0.01364, 0.00687,-0.1043,0.6954,1.0000,-1.1621, 0.0000, 0.3615
  4.367, 0.9500, 0.01376, 0.00702,-0.1032,0.6696,1.0000,-1.3136, 0.0000, 0.3538
  4.843, 1.0000, 0.01390, 0.00721,-0.1021,0.6415,1.0000,-1.5409, 0.0000, 0.3467
  5.325, 1.0500, 0.01410, 0.00741,-0.1008,0.6096,1.0000,-1.8075, 0.0000, 0.3401
  5.827, 1.1000, 0.01443, 0.00779,-0.0993,0.5694,1.0000,-2.1215, 0.0000, 0.3337
  6.355, 1.1500, 0.01493, 0.00824,-0.0972,0.5174,1.0000,-2.4916, 0.0000, 0.3273
  6.931, 1.2000, 0.01579, 0.00902,-0.0945,0.4470,1.0000,-2.9229, 0.0000, 0.3207
  7.627, 1.2500, 0.01761, 0.01052,-0.0901,0.3322,1.0000,-3.4464, 0.0000, 0.3131
  9.755, 1.3000, 0.03160, 0.02295,-0.0664,0.0597,1.0000,-4.5571, 0.0000, 0.2892
 10.902, 1.3500, 0.03970, 0.03139,-0.0578,0.0429,1.0000,-5.1999, 0.0000, 0.2792
 11.740, 1.4000, 0.04745, 0.03972,-0.0530,0.0363,1.0000,-5.7426, 0.0000, 0.2730


